Categoria;Resposta;Dica1;Dica2;Dica3;Dica4;Dica5;Dica6;Dica7;Dica8;Dica9;Dica10
Personagem;Harry Potter;Sou o protagonista de uma série de livros de fantasia.;Descobri minha verdadeira natureza aos 11 anos.;Tenho uma cicatriz em forma de raio na testa.;Estudei em uma escola de magia chamada Hogwarts.;Meus melhores amigos são Rony e Hermione.;Pertenço à casa Grifinória.;Possuo uma coruja de estimação chamada Edwiges.;Utilizo uma varinha e uma vassoura voadora.;"Sou conhecido como ""O Menino que Sobreviveu"".";Sou o bruxo que derrotou Lord Voldemort.
Lugar;Paris;Sou uma capital europeia.;Sou conhecida pelo meu charme e romance.;Sou cortada pelo Rio Sena.;Tenho uma arquitetura histórica e icônica.;Sou um dos centros mundiais da moda.;Sou a sede do museu mais visitado do mundo (Louvre).;Meu ponto turístico mais famoso foi construído para uma feira mundial.;"Sou chamada de ""Cidade Luz"".";Minha culinária é famosa por croissants e queijos.;Abrigo a famosa Torre Eiffel.
Pessoa;Albert Einstein;Nasci no século XIX.;Sou conhecido por minha inteligência.;Fui físico teórico.;Nasci na Alemanha.;Sou famoso por uma teoria sobre o tempo e o espaço.;Ganhei o Prêmio Nobel de Física.;Minha imagem com cabelo bagunçado é icônica.;Minha equação mais conhecida é E=mc²;Fugi do nazismo e fui morar nos Estados Unidos.;Meu nome virou sinônimo de gênio. 
Animal;Elefante;Sou um mamífero terrestre.;Vivo em grupos sociais complexos.;Tenho uma excelente memória.;Sou herbívoro e consumo grandes quantidades de vegetação.;Minha gestação é uma das mais longas do reino animal (22 meses).;Tenho presas de marfim que infelizmente atraem caçadores.;Sou o maior animal terrestre vivo na atualidade.;Minhas orelhas ajudam a regular minha temperatura corporal.;Sou encontrado naturalmente na África e na Ásia.;Minha característica física mais marcante é a longa tromba.
Ano;1945;Pertenço à primeira metade do século XX.;Foi um ano que mudou a geografia do mundo.;Marcou a criação da ONU.;Pessoas saíram às ruas para comemorar o fim de um conflito.;Infelizmente, vi o primeiro uso de bombas atômicas.;Líderes como Hitler e Mussolini morreram neste ano.;Marcou o início da transição para a Guerra Fria.;No Brasil, terminou o Estado Novo de Getúlio Vargas.;Foi o ano em que a Alemanha se rendeu.;Sou o ano em que terminou a Segunda Guerra Mundial.
Obra;Mona Lisa;Sou uma obra de arte mundialmente famosa.;Fui pintada no início do século XVI.;Sou uma pintura a óleo sobre madeira de álamo.;Meu autor é o maior polímata do Renascimento.;"Sou conhecida pela técnica de ""sfumato"".";Meu sorriso é considerado um dos maiores mistérios da arte.;Fui roubada do Museu do Louvre em 1911.;"Também sou conhecida pelo nome ""La Gioconda"".";Fui criada por Leonardo da Vinci.;Sou o retrato de uma mulher que parece observar o espectador de qualquer ângulo.
Pessoa;Steve Jobs;Nasci no século XX nos EUA.;Fui um visionário da tecnologia.;Comecei uma empresa em uma garagem com um amigo.;Fui demitido da minha própria empresa e depois voltei.;Revolucionei a indústria da música com o iPod.;Era conhecido por vestir sempre calça jeans e blusa preta.;Ajudei a fundar a Pixar.;Minha empresa tem o nome de uma fruta.;Sou o rosto por trás do lançamento do primeiro iPhone.;Sou o cofundador da Apple.
Lugar;Amazônia;Sou uma vasta região geográfica.;Abrigo a maior biodiversidade do planeta.;Sou essencial para a regulação do clima global.;Estendo-me por nove países da América do Sul.;Sou cortada pelo maior rio em volume de água do mundo.;Minha vegetação é densa e predominantemente tropical.;Sofro constantemente com ameaças de desmatamento.;Grande parte do meu território está no Brasil.;"Sou chamada de ""Pulmão do Mundo"".";Sou a maior floresta tropical do mundo.
Comida;Chocolate;Sou um alimento derivado de uma fruta tropical.;Minha base é o cacau.;Fui consumido como bebida amarga pelos astecas e maias.;Tornei-me sólido e doce após processos industriais.;Posso ser encontrado nas versões ao leite, amargo ou branco.;Sou o ingrediente principal dos ovos de Páscoa.;Libero substâncias que trazem bem-estar.;Sou frequentemente dado em caixas de bombons.;Derreto facilmente em temperaturas próximas à do corpo.;Sou o doce mais amado e consumido do mundo.
Personagem;Batman;Sou um super-herói das histórias em quadrinhos.;Não possuo superpoderes sobre-humanos.;Minha identidade secreta é um bilionário órfão.;Vivo em uma cidade fictícia chamada Gotham City.;Utilizo tecnologia avançada e artes marciais.;Tenho um mordomo fiel chamado Alfred.;Meu símbolo é inspirado em um animal noturno.;Meus pais foram mortos em um beco.;Meu maior inimigo é o Coringa.;"Sou conhecido como o ""Cavaleiro das Trevas""."
Ano;1500;Sou um ano de transição de século.;Pertenço à Idade Moderna.;Começo com o numeral 1.;Foi um período de Grandes Navegações.;Na Europa, o Renascimento estava em alta.;Sou um ano bissexto.;Uma frota portuguesa atravessou o Atlântico neste ano.;Pedro Álvares Cabral liderava essa expedição.;Chegamos a terras que seriam chamadas de Vera Cruz.;"Sou o ano do ""descobrimento"" oficial do Brasil."
Pessoa;Pelé;Nasci no século XX.;Sou brasileiro.;Fui um atleta profissional.;Sou conhecido mundialmente por um esporte de massa.;Estreei em uma Copa com apenas 17 anos.;Marquei mais de mil gols em minha carreira.;Joguei a maior parte da vida no Santos.;Sou o único jogador a vencer três Copas do Mundo.;Usei a mítica camisa número 10.;"Sou amplamente chamado de o ""Rei do Futebol""."
Fenômeno;Arco-íris;Sou um fenômeno óptico e meteorológico.;Ocorro quando a luz solar interage com gotas de água.;Apareço geralmente logo após ou durante uma chuva.;Tenho o formato de um arco multicolorido no céu.;Sou composto pela decomposição da luz branca.;Possuo sete cores principais visíveis.;Na mitologia, sou visto como uma ponte.;No folclore irlandês, haveria um pote de ouro no fim.;Vermelho, laranja, amarelo, verde, azul, anil e violeta são minhas cores.;Sou a manifestação visual do espectro solar após a chuva.
Obra;Romeu e Julieta;Sou uma obra clássica da literatura.;Fui escrita no final do século XVI.;Sou uma tragédia sobre dois jovens apaixonados.;Minha história se passa na cidade de Verona, Itália.;Meu autor é William Shakespeare.;As famílias dos protagonistas são rivais.;Sou o símbolo máximo do amor proibido.;Fui adaptada inúmeras vezes para o cinema.;Minha cena mais famosa acontece em um balcão.;Sou a peça de teatro mais famosa de Shakespeare.
Lugar;Roma;Sou uma das cidades mais antigas da Europa.;"Sou conhecida como a ""Cidade Eterna"".";Fui o centro de um dos maiores impérios da história.;Tenho um país inteiro dentro do meu território.;Sou famosa por minhas sete colinas.;Minha arquitetura inclui aquedutos.;O rio que me atravessa é o Tibre.;Abrigo as ruínas do Fórum e do Panteão.;Sou a capital da Itália.;O Coliseu é meu monumento mais icônico.
Animal;Girafa;Sou um mamífero herbívoro.;Vivo nas savanas africanas.;Possuo uma língua azulada e comprida.;Consigo comer folhas nos topos das árvores.;Minha pele é coberta por manchas irregulares.;Tenho dois pequenos chifres cobertos de pele.;Consigo passar dias sem beber água.;Meu coração é muito forte para bombear sangue até a cabeça.;Sou o animal mais alto do mundo.;Meu pescoço é extremamente longo.
Ano;1989;Pertenço à segunda metade do século XX.;Foi um ano de grandes mudanças geopolíticas.;Na computação, a WWW começou a ser idealizada.;No Brasil, ocorreram as primeiras eleições diretas pós-ditadura.;O mundo assistiu ao massacre na Praça da Paz Celestial.;Sou o ano em que os Simpsons estreou.;"A música ""Lambada"" era um sucesso mundial.";Ocorreu a queda de um muro que dividia uma cidade alemã.;Marcou o início do fim da Guerra Fria.;Sou o ano da queda do Muro de Berlim.
Pessoa;Cleópatra;Vivi antes da era cristã.;Fui uma das mulheres mais poderosas da Antiguidade.;Governei uma nação africana.;Tive relacionamentos com líderes romanos.;Sou a última governante do Reino Ptolemaico.;Sou retratada com maquiagem marcante.;Minha linhagem era de origem grega.;Diz a lenda que me suicidei com uma cobra.;Vivi na cidade de Alexandria.;Fui a Rainha do Egito.
Lugar;Muralha da China;Sou uma das maiores estruturas já construídas.;Sou feita de pedra, tijolo e terra.;Fui construída ao longo de vários séculos.;Minha função original era proteção contra invasões.;Atravesso desertos e montanhas.;Sou uma das Novas Sete Maravilhas do Mundo.;Tenho milhares de quilômetros de extensão.;Possuo diversas torres de vigia.;Sou o principal símbolo turístico do meu país.;Sou a fortificação visível do alto no leste asiático.
Evento;Natal;Sou uma celebração anual de grande importância.;Tenho origens cristãs.;Ocorro no mês de dezembro.;Sou uma época de reuniões familiares.;Minha decoração inclui árvores enfeitadas.;Ceias especiais são preparadas na minha véspera.;Crianças costumam escrever cartas pedindo brinquedos.;Minha figura comercial veste vermelho e branco.;Sou celebrado no dia 25 de dezembro.;Minha figura central lendária é o Papai Noel.
Pessoa;Leonardo da Vinci;Vivi durante o Renascimento.;Nasci na Itália.;Fui pintor, escultor e inventor.;Estudei anatomia humana escondido.;Projetei máquinas voadoras séculos antes do avião.;"Sou o autor do ""Homem Vitruviano"".";Pintei uma famosa ceia em Milão.;Sou mestre na técnica do sfumato.;Minha obra mais famosa está no Louvre.;"Sou o autor da ""Mona Lisa""."
Animal;Tubarão;Sou um peixe cartilaginoso.;Habito oceanos e mares por todo o mundo.;Não possuo ossos, meu esqueleto é de cartilagem.;Meus dentes são substituídos continuamente.;Possuo fendas branquiais nas laterais.;Tenho um olfato apurado para detectar sangue.;Algumas espécies precisam nadar constantemente para respirar.;Fui protagonista de um filme de Spielberg.;Minha barbatana dorsal na água causa medo.;"O ""Branco"" é minha espécie mais famosa."
Personagem;Sherlock Holmes;Sou um personagem da literatura de ficção.;Vivo em Londres na era vitoriana.;Apareci pela primeira vez em um livro de 1887.;Sou conhecido pela lógica dedutiva.;Meu criador foi Sir Arthur Conan Doyle.;Tenho um fiel companheiro chamado Dr. Watson.;Meu endereço é 221B Baker Street.;"Uso um chapéu ""deerstalker"" e um cachimbo.";Meu maior inimigo é o Professor Moriarty.;Sou o detetive mais famoso de todos os tempos.
Lugar;Nova York;Localizo-me na costa leste da América do Norte.;Sou a cidade mais populosa do meu país.;Sou um centro global de finanças.;"Sou apelidada de ""Big Apple"".";Tenho cinco divisões principais.;Abrigo a sede da ONU.;Meus musicais são mundialmente famosos.;Tenho um parque gigantesco no centro.;Meus táxis amarelos são um símbolo.;A Estátua da Liberdade fica em uma de minhas ilhas.
Pessoa;Santos Dumont;Nasci em Minas Gerais no século XIX.;Fui um inventor e aeronauta.;Passei grande parte da vida na França.;Projetei diversos balões dirigíveis.;Sou creditado por popularizar o relógio de pulso.;Ganhei o Prêmio Deutsch ao contornar a Torre Eiffel.;"Fui entusiasta da aviação ""mais pesada que o ar"".";Minha casa em Petrópolis é um museu.;Realizei o primeiro voo homologado em 1906.;Sou o inventor do avião 14-Bis.
Coisa;Computador;Sou uma ferramenta de processamento de dados.;Comecei com máquinas de calcular mecânicas.;Evoluí de válvulas para microchips.;Possuo hardware e software.;Alan Turing é considerado um dos meus pais.;Antigamente, eu ocupava salas inteiras.;Hoje posso ser carregado em uma mochila.;Tenho memória RAM e armazenamento.;Utilizo o sistema binário (0 e 1).;Sou o dispositivo onde você usa internet.
Fenômeno;Aurora Boreal;Sou um espetáculo de luzes naturais no céu.;Ocorro devido ao impacto de partículas solares.;Sou visível apenas em altas latitudes do Norte.;"Minha versão no Sul chama-se ""Austral"".";Exibo cores como verde e violeta.;Pareço cortinas dançantes no céu noturno.;Países como Noruega e Islândia são ótimos para me ver.;Sou alvo de fotógrafos de natureza.;A melhor época é durante o inverno polar.;"Sou as famosas ""Luzes do Norte""."
Pessoa;Machado de Assis;Nasci no Rio de Janeiro no século XIX.;Tive origens humildes e fui autodidata.;Fui jornalista, cronista e poeta.;Sou o maior nome da literatura brasileira.;Fui um dos fundadores da ABL.;Minha obra é dividida em Romântica e Realista.;Criei personagens como Capitu e Bentinho.;"Escrevi ""Memórias Póstumas de Brás Cubas"".";"Sou o ""Bruxo do Cosme Velho"".";"Sou o autor do clássico ""Dom Casmurro""."
Ano;1969;Pertenço à década de 60.;Foi um ano de grandes avanços tecnológicos.;Ocorreu o festival de Woodstock.;A internet deu seus primeiros passos.;Os Beatles fizeram sua última apresentação no telhado.;No Brasil, vivia-se o período do AI-5.;A missão Apollo 11 foi lançada neste ano.;Neil Armstrong foi o primeiro homem a pisar na Lua.;"""Um pequeno passo para um homem..."".";Sou o ano em que o homem chegou à Lua.
Evento;Olimpíadas;Sou uma celebração esportiva global.;Ocorro regularmente a cada quatro anos.;Minhas origens remontam à Grécia Antiga.;Minha versão moderna foi revivida por Coubertin.;Reuno atletas de quase todos os países.;Possuo versões de Verão e de Inverno.;Meu símbolo consiste em cinco anéis coloridos.;O acendimento de uma pira marca o início.;Atletas competem por medalhas.;Sou o maior espetáculo esportivo da humanidade.
Personagem;Mickey Mouse;Sou uma figura icônica da cultura pop mundial.;"Minha primeira aparição foi em ""Steamboat Willie"".";Fui criado por Walt Disney em 1928.;Tenho uma voz aguda e sapatos amarelos.;Minha namorada chama-se Minnie.;Tenho um cachorro chamado Pluto.;Sou o principal símbolo de um império.;Uso luvas brancas e bermuda vermelha.;Tenho orelhas redondas pretas reconhecíveis.;Sou o rato mais famoso do mundo.
Lugar;Japão;Sou uma nação insular.;Estou localizado no leste da Ásia.;"Sou conhecido como ""Terra do Sol Nascente"".";Minha geografia é marcada por vulcões.;Sou líder mundial em eletrônicos.;Minha culinária usa muito peixe cru.;Sou a terra dos samurais e ninjas.;Minhas cerejeiras são famosas.;Minha capital é a cidade mais populosa do mundo.;Sou o arquipélago onde fica o Monte Fuji.
Pessoa;Marie Curie;Nasci no século XIX.;Fui uma cientista pioneira.;Nasci na Polônia, fiz carreira na França.;Primeira mulher a ganhar um Nobel.;Ganhei dois Prêmios Nobel em áreas diferentes.;Estudei a radioatividade.;Descobri Polônio e Rádio.;Desenvolvi unidades de raio-X na 1ª Guerra.;Meus cadernos são radioativos até hoje.;Meu sobrenome é sinônimo de ciência nuclear.
Animal;Leão;Sou um mamífero carnívoro.;Vivo predominantemente em savanas.;Sou um animal social (alcateias).;Tenho garras retráteis e caninos grandes.;Sou predador de topo de cadeia.;Meu rugido pode ser ouvido a quilômetros.;As fêmeas são as principais caçadoras.;Sou um dos símbolos do zodíaco.;Os machos possuem uma juba imponente.;"Sou conhecido como o ""Rei da Selva""."
Comida;Pizza;Sou um prato extremamente popular.;Minha base é feita de massa de trigo.;Sou geralmente assada em fornos de alta temperatura.;Minha origem moderna é Nápoles, Itália.;Sou circular, servida em fatias triangulares.;Tenho infinitas variações de coberturas.;"O sabor ""Marguerita"" usa as cores da Itália.";Sou um dos itens mais pedidos no delivery.;Queijo e molho de tomate são obrigatórios.;Minha embalagem tradicional é quadrada.
Ano;2000;Marquei o início de um novo milênio.;"Havia um medo chamado ""Bug do Milênio"".";Ocorreram os Jogos de Sydney.;A PlayStation 2 foi lançada.;Putin assumiu a presidência da Rússia.;Sou um ano bissexto.;"O filme ""Gladiador"" foi sucesso.";No Brasil, comemorou-se os 500 anos.;Começo com o numeral 2.;Sou o último ano do século XX.
Lugar;Austrália;Sou um país e um continente.;Localizo-me no Hemisfério Sul.;Fui colonizada por britânicos.;Meu interior é árido (Outback).;Abrigo a Grande Barreira de Corais.;Minha maior cidade é Sydney.;Sou famosa por animais perigosos.;Tenho uma famosa Casa de Ópera.;Sou a terra dos aborígenes.;Sou o habitat de cangurus e coalas.
Pessoa;Isaac Newton;Nasci no século XVII.;Fui matemático e físico.;Nasci na Inglaterra.;Formulei as leis do movimento.;Desenvolvi o cálculo infinitesimal.;Fiz descobertas sobre a óptica.;Estudei a gravitação universal.;Dizem que uma maçã caiu na minha cabeça.;"Escrevi a obra ""Principia"".";Meu sobrenome é unidade de medida de força.
Obra;O Grito;Sou uma pintura mundialmente reconhecida.;Fui criada em 1893.;Meu autor é Edvard Munch.;Sou um ícone do Expressionismo.;Represento a angústia moderna.;Minhas cores são vibrantes e formas distorcidas.;Ao fundo, há duas figuras em uma ponte.;Fui alvo de roubos famosos em Oslo.;Imagem usada em paródias e cultura pop.;Represento uma figura com as mãos no rosto.
Coisa;Automóvel;Sou um meio de transporte terrestre.;Produção em massa começou com o Ford T.;Geralmente utilizo quatro rodas.;Movido a combustão ou eletricidade.;Exijo licenciamento e seguro.;Possuo cintos e airbags.;Motor medido em cavalos (cv).;Tenho volante e pedais.;Preciso de combustível para rodar.;"Sou popularmente conhecido como ""carro""."
Evento;Carnaval;Sou uma festa de origem religiosa.;Celebrado em muitos países.;Feriado nacional em várias cidades brasileiras.;Marcado por desfiles e fantasias.;No Rio, aconteço no Sambódromo.;Em Veneza, as máscaras são tradição.;Na Bahia, sou acompanhado por trios.;Escolas de samba competem por títulos.;"Conhecido como ""Festa da Carne"".";Sou a maior festa popular do Brasil.
Animal;Tartaruga;Sou um réptil.;Existo há mais de 200 milhões de anos.;Vivo em terra ou na água.;Não possuo dentes, mas um bico rígido.;Conhecida pela lentidão em terra.;Minhas patas podem ser nadadeiras.;Ponho ovos na areia.;Posso passar dos 100 anos.;Minha proteção é a carapaça dura.;"Carrego minha ""casa"" nas costas."
Coisa;Livro;Posso ser físico ou digital.;Suporte para conhecimento e imaginação.;Existia em rolos de pergaminho.;Prensa de Gutenberg revolucionou minha produção.;Possuo uma capa protetora.;Composto por páginas numeradas.;Posso ser de ficção ou didático.;Tenho sumário ou índice.;Pessoas gostam do cheiro das folhas novas.;Sou lido da esquerda para a direita no Ocidente.
Coisa;Telefone;Sou objeto de comunicação.;Facilitou a conexão à distância.;Primeira versão surgiu no século XIX.;Alexander Graham Bell é associado a mim.;Antigamente precisava de cabos.;Evoluí para versões sem fio.;Quase todos carregam um no bolso.;Antes de falar, ouvia-se um sinal de discagem.;Tenho números e teclas.;Minha função é realizar chamadas de voz.
Evento;Copa do Mundo;Evento de maior audiência do planeta.;Ocorro a cada quatro anos.;Reúno seleções de todos os continentes.;Sou organizado pela FIFA.;O país sede muda a cada edição.;O vencedor recebe troféu de ouro.;Brasil participou de todas as edições.;Pelé e Maradona brilharam em mim.;Pessoas colecionam álbuns de figurinhas.;Principal torneio mundial de futebol.
Coisa;Relógio;Instrumento de medição.;Inventado para organizar as atividades.;Dependia do sol ou da areia.;Posso ser analógico ou digital.;Usado como acessório de moda.;Tenho engrenagens ou circuitos.;Posso emitir alarmes.;Divido o dia em 24 partes.;Tenho ponteiros.;Objeto que serve para ver as horas.
Lugar;Egito;Localizado no Mediterrâneo.;Uma das histórias mais antigas.;Atravessado pelo Rio Nilo.;Território coberto por deserto.;Capital é o Cairo.;Governantes eram divindades.;Berço dos hieróglifos.;Abrigo templos gigantescos.;Destino de turistas pelas pirâmides.;Abrigo a Grande Esfinge de Gizé.
Personagem;Magic Kaito (Kaito Kid);Sou um personagem de mangá e anime criado por Gosho Aoyama.;Minha primeira aparição ocorreu em 1987.;Sou um mestre do disfarce e do ilusionismo.;Assumi a identidade secreta que pertenceu ao meu pai.;Frequentemente apareço como um rival brilhante na série Detective Conan.;Utilizo dispositivos tecnológicos para realizar fugas impossíveis.;Meu traje icônico é um terno branco com cartola e capa.;Envio cartões de aviso antes de realizar meus roubos.;Sou um ladrão de joias que busca a gema Pandora.;Meu codinome internacional é Kaito Kid.
Personagem;Misato Katsuragi;Sou uma personagem central de uma aclamada série de ficção científica dos anos 90.;Sou uma oficial de alto escalão em uma organização paramilitar.;Atuo como guardiã e mentora dos jovens pilotos da trama.;Tenho uma cicatriz no peito, única lembrança do Segundo Impacto.;"Sou uma estrategista brilhante em batalhas contra seres chamados ""Anjos"".";Apesar da competência profissional, sou muito desorganizada em casa.;Adoro beber cerveja e tenho um pinguim de estimação chamado Pen Pen.;Minha patente é promovida de Capitã a Major durante a série.;Trabalho para a organização secreta NERV.;Sou a diretora de operações em Neon Genesis Evangelion.
